step,energy
115800000,10028.5183262
116400000,9890.04625832
117000000,9910.6538232
117600000,9939.65726064
118200000,9932.27182754
118800000,10057.310497
119400000,9971.84891907
120000000,9898.953968
120600000,9826.05901693
121200000,10025.1188385
121800000,9928.6129104
122400000,9826.05901693
123000000,9741.46421066
123600000,9827.79256017
124200000,9880.94671798
124800000,9972.71569069
125400000,9922.30551558
126000000,9981.76706821
126600000,9988.07446303
127200000,10035.6924926
127800000,10089.7615849
128400000,10009.6924674
129000000,10039.3514098
129600000,10164.3900792
130200000,10017.7334054
130800000,10084.3691245
131400000,10149.2907363
132000000,10103.1949833
132600000,10105.0721944
133200000,10051.0031021
133800000,10114.8466757
134400000,10070.8875632
135000000,10135.8091751
135600000,10137.5232823
136200000,10026.7366201
136800000,9920.57197234
137400000,9966.4564587
138000000,9920.57197234
138600000,9908.87211714
139200000,9800.92576329
139800000,9863.90256523
140400000,9933.13859916
141000000,9852.20271003
141600000,10004.300007
142200000,10143.8501131
142800000,10079.7952729
143400000,10061.8361857
144000000,10033.9589494
144600000,10261.7627789
145200000,10072.6692693
145800000,10212.2193754
146400000,10169.7825396
147000000,10160.0080583
147600000,10026.7847829
148200000,10003.4332354
148800000,10106.8539005
149400000,10155.4823695
150000000,10193.3259178
150600000,10076.3281864
151200000,10093.420502
151800000,10315.8318712
152400000,10186.8748551
153000000,10165.2568508
153600000,10085.1877333
154200000,10171.5160828
154800000,10104.0617549
155400000,10002.3746331
156000000,9950.23091474
156600000,10018.6001771
157200000,10006.9003218
157800000,9998.06021099
158400000,10105.1397932
159000000,10142.7720749
159600000,10009.7600662
160200000,10077.2625569
160800000,10111.447188
161400000,10122.0208421
162000000,10154.4719301
162600000,10131.9871541
163200000,10151.8716152
163800000,10061.0175769
164400000,10158.9976188
165000000,10048.4509501
165600000,10060.1508053
166200000,10036.7510949
166800000,10084.3691245
167400000,10027.6997174
168000000,9975.55599904
168600000,10079.8434357
169200000,10129.5981059
169800000,10116.8202124
170400000,10118.5537557
171000000,10124.8129877
171600000,10112.2463608
172200000,10015.9998622
172800000,10285.9616621
173400000,10037.6178665
174000000,10100.5946685
174600000,10014.266319
175200000,10149.2713003
175800000,10032.2254062
176400000,10141.2497983
177000000,10071.8024977
177600000,10025.0512397
178200000,10117.686984
178800000,10021.3923226
179400000,9986.34091979
180000000,10068.1435805
180600000,10071.8024977
181200000,10031.3104717
181800000,10061.8361857
182400000,10061.1806808
183000000,10270.6028898
183600000,10259.7698062
184200000,10112.2463608
184800000,10187.7416268
185400000,10397.3751025
186000000,10216.7450642
186600000,10174.3082283
187200000,10179.7488515
187800000,10309.3132097
188400000,10289.4769114
189000000,10085.2358961
189600000,10130.205448
190200000,10160.7311621
190800000,10123.0794444
191400000,10237.3331931
