step,energy
358800000,15772.0425948
359400000,15334.5666918
360000000,15303.9796188
360600000,15231.1710022
361200000,15208.3500274
361800000,15248.9801817
362400000,15218.1432443
363000000,15006.5899342
363600000,15200.4472176
364200000,15298.448604
364800000,15489.5710753
365400000,15235.6103565
366000000,15109.7684887
366600000,15019.3678277
367200000,15341.0331649
367800000,15386.4682995
368400000,15126.3610755
369000000,15106.8995738
369600000,15352.033804
370200000,15416.4516614
370800000,15337.3106745
371400000,15526.3046535
372000000,15316.7575123
372600000,15331.4688624
373200000,15399.1094814
373800000,15232.6374593
374400000,15177.5248694
375000000,15406.7833767
375600000,15459.7126456
376200000,15329.7734908
376800000,15054.8939838
377400000,15395.8867198
378000000,15214.8165005
378600000,15212.19745
379200000,15080.4379913
379800000,15218.5180409
380400000,14998.3241072
381000000,14920.7745096
381600000,14882.9923203
382200000,15134.821938
382800000,15043.5185481
383400000,15128.9801259
384000000,15115.1105719
384600000,14863.2809542
385200000,14918.1554592
385800000,14940.7147902
386400000,14927.9486761
387000000,15139.0022573
387600000,15448.3162599
388200000,15306.2238727
388800000,15493.9894796
389400000,15336.2072345
390000000,15687.1089492
390600000,15503.3039176
391200000,15400.5001598
391800000,15166.2625865
392400000,15336.7069634
393000000,15551.7328994
393600000,15265.8435828
394200000,15312.6811752
394800000,15010.0625602
395400000,15312.6811752
396000000,15116.817723
396600000,15099.6004752
397200000,15239.8116258
397800000,15276.7402396
398400000,15072.1112316
399000000,15031.6060095
399600000,15011.4158645
400200000,14935.1346219
400800000,14965.6177126
401400000,15051.54629
402000000,15010.6872212
402600000,14822.4218855
403200000,15125.0405005
403800000,14944.5648216
404400000,15041.149362
405000000,14921.3782207
405600000,14989.9973475
406200000,14907.7585311
406800000,15259.6479241
407400000,14972.0632358
408000000,14890.4163511
408600000,14934.3941992
409200000,15136.4041568
409800000,15266.0934472
410400000,15031.2312129
411000000,15084.1604818
411600000,15142.8614594
412200000,15200.2183032
412800000,15149.7949319
413400000,15193.1598984
414000000,15262.9956178
414600000,14966.4595087
415200000,14967.0632198
415800000,14987.5032292
416400000,15301.2474155
417000000,15128.1931587
417600000,15066.1444873
418200000,15322.0504421
418800000,15352.5125829
419400000,15045.2256991
420000000,15294.5611985
420600000,15294.1864019
